TO_ADDRESS,NUM,NUM_TOKENS
0x839ffc196d656f89d0f40736559273f956efc60a,1,0
0x42ded6bf02c6b7bb8b4b1ef2257726eac474e6ea,1,0
0xd5469d704c0a36347899236384e9920a54fe21ce,4,0
0x7fdb8e855b7066ae3e193a42cdb0bacf5bf8e267,2,0
0x3b35dc3b743f219aaa6444a3aea949729543d11b,1,0
0xfafc5b6063d428b5ffdc979cf75c17c114ecf148,1,0
0xb2038ff1754965410969ef1ae000873ed4b423a9,1,0
0x34880f5b0ac81d70ae6b0b2e0667e2096d2b4c92,1,0
0x99e22593d9a03b634c1410302352764f63c2fdd4,1,0
0x099c405e966ef75bc936eb49d99b0e5ec9dcaf1a,2,0
0x51c07f24c717287c9c05fb80381fd2defd65b42e,3,0
0x89c5a5d6a57a6d8540b81b9a79aaa0f1d38d7493,2,0
0x3c18d4124ecc216e6a8b94c4ad0a78b76ce42755,1,0
0x5e6c2bc445900aa23407fa535d33c10c3777927f,1,0
0x32df6a8017518e0e020d2926319e55d30b57f29b,1,0
0x6d46eed179be64ba86265ab016c8710e10bce33c,1,0
0xa9404d377694e35f11ca157dc831a003c7df1db0,13,0
0x01d29ec5d67019e4e73b843a0315a115a2ef18c9,2,0
0xe97d512f99d9d8ca940ec5abeab8870d68d33f83,4,0
0x3301fa9c47e305ade49db87a6adae58d0ae2d2ae,1,0
0x2a1a37850cb61a54f0ec5a8ab2a32cf931a64ed9,1,0
0x71e09526ef050690fc66f33f001fcdd77b218f0f,1,0
0xec8e97015fdd54f7eb5208aec59fbb69b4ba3f00,1,0
0x43a9b008dcac57da60b738b42ad1ccc1c76aface,1,0
0x8b2e87410b3d382a8eed1e49659a388d178039c9,1,0
0x6d310e174fe86203530aaa51c3feb80aa2b27ff5,1,0
0x19c105456b4ff09811da7b26d592f72d2e2160b8,1,0
0x0881c6956268e2bc920f4446eaffba48bcb7558f,5,0
0x376392a672d267bcbb41ca0d4f1ca1a9ac76cad8,1,0
0x35e593299d1119ba310b746a28127e5e51848c05,1,0
0x5dfe4c1017913d62c7001681caef0ca99e050d03,3,0
0x39adb08824e8acaec4d30d1c21ae0ec6983613ef,5,0
0x011c75386d9178f70f3f577bf23bb93704523203,5,0
0x20a932674f5f7f254e0b8afa13787ac56825aea5,6,0
0xeed19288035190fdb08f5f840c40511f9a07a94b,1,0
0x61669d4ed2863e857c87d9a654b0b1d00b45c3e6,1,0
0x1213f9e21fbf093ddef052eb5637fcb43efa7207,8,0
0x2d601c2158430b21cf0903b8023cc57920b87f57,2,0
0x05e9d8340012e11d6f8c57edfe6b998a3bf59ba0,1,0
0xaa06613c19851c62d219928427b873ef28c91f0d,2,0
0xcee0f0058e090297357930e13dfdb27296a18075,1,0
0x34900e12dbb5c995b9f306028ad7c367fa010e15,1,0
0xbe21f11e85cb2de8d9561c4d2a736086927a86e0,3,0
0xe1a4db24bf8bcab2c11fcfa018b7194d21f062ce,3,0
0x348c4fe598d17aa87d81e5c716bf84f97a3e8464,6,0
0xd3365d04a8dcd2d2f071e62d36c0d476cf0a0866,11,0
0x0ab4777b63778d24a9c33ae740247990ec0cb636,1,0
0x97a8fe37756d6df4771c97e89b0323eefcfefb3b,1,0
0x22cb9339bd31ff5c6da4aeea8a1e827cff718c3c,3,0
0xfd51f8729e34edbe4e75d212c4a40822a45247d4,2,0
0x0d5d7bdd304909f83b1935fdac0dff7dfa55dc4b,1,0
0xb9f7e01cde79171d865ab5353520458d1f662414,1,0
0xf41a1bbf3194e932723f08f4935e3d302342e151,1,0
0x142a98a388a1ba2643b86eba3d2f13bf5383a8c1,5,0
0x9e5c9b1b24490bc63eb44b0625900cb3f43adfe3,3,0
0x1146e520a14bd270b4d9898b271a44a9f634b13a,1,0
0x7d85b095e8d4e2ef6357e5659988e366015da0c8,1,0
0xf07b6bc12d3b3cef4b3dde4c9365f46c48892ece,2,0
0x5fc8d9f04f9d3b394b53a76d3dd134f17dd300a6,3,0
0x4f01b780e5667e6dec3a2d9024b7297a06cc6c6e,1,0
0xb3c3072e5c8c180627aa249289cbeee38ba9c706,1,0
0x9a66d3c7f84b8acec6a6d2bf473c68257d416f26,1,0
0x6aa737ebf68b5a83ad484c6e0ad11b556c326323,1,0
0xdbd8933e7fcb62462986a002d3ffc7008384bff2,5,0
0xab536cd0b2ccd78d97f1fd8a163cd48fb7b616bd,2,0
0xa2ea91b5546fca1a5fc22f1bf7e9ea2af0a72ec9,1,0
0xd2d53c514487f2791a736f2b6ebacf95484d93e4,3,0
0x5feec16c1564e1661b93d0c8283d0f0f609f3c08,5,0
0x54ce84ed197c2e7a0896c7c98130029ea2b24e58,3,0
0x6427b291b5090b6ff3bec3612e1b2bcab01f9912,1,0
0x8e2f65e5c8311c736a49a6e4b7d1c6b975f27568,1,0
0x3d17b4bd13dcc1a32eeffea3d879249a129bf4cc,4,0
0xdfa1762632cefcc9d5df9ce243d1282f9993d944,1,0
0x2e3fc1ba3869743f493ffa1fd769d059b0672fa5,3,0
0x1e7b77c7ba8910028462d0e6380d704b34cf3d86,1,0
0x723c5cdb8e61f5baebced30ef6c410b59f408d7e,2,0
0x99f18ac2bf260d5b3fd7131afc288db575b06739,2,0
0xfa7e247231476beb6933dbb3ddbd0943fe03a3df,1,0
0x8f7b6dec21a7482e992f1832db038b6852066da7,1,0
0x4dbed0b8d69b23150169c287f3ca66f80c7f138c,3,0
0xb5e2a60d8922efd22db0582d6a08b038bb1840dd,4,0
0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,1,0
0x9b77aef85508aa7ba6937af882152e3501528841,1,0
0x8ee295fbfd9d9646f8a5d9af93c7e0c7a3590a02,1,0
0x954386c51eb564061e040f26216c8603cb38bf79,1,0
0xe0001ef36e08e0800c59d1aab662e6eda2e42cfd,2,0
0xd6bb547ef8359ecc3d8c41324c9a5f5119e89cc6,10,0
0x5748e862726be363b8a65174f0d00e02463d8efc,3,0
0x9120cd2bbe7be07eca7203c31756ae76fb35234a,10,0
0x7832773cf9105783a5e7126030beff488177c8aa,1,0
0x552828a2c46197efd402d816195f03cc7f7be998,1,0
0x5d9eac63592e91995e9e350fc3888a62438828ab,1,0
0xedc95b3d8f199cdcb8816da0bd7ce0cd0236e7b7,4,0
0x545c8bfe8a65af702686c86719ae683795c24593,4,0
0x4605520d156c79780f857bf19aa5a6e35d0d3a31,1,0
0xf75ae45c8700ac26c188236b60c5593fad5b8cb2,1,0
0x15874e6e9053c26260c385e4e67b5e2280ccf8c6,1,0
0xd67ac5de3a98ba98def5a2fa8e9e26ed38975c8a,5,0
0x938cb5df3669677253bfe9dc18c12097c0ff762d,6,0
0x39f9e2d2e6eaf9397b2db9e68ee264bfd0bd0afe,1,0
0xfc77a52fb0109d8f7a2474951cf56f5018b12699,1,0
0x309747804a5c737867d61961fbc3e87632da7150,1,0
0x8a8c64497859b0b1e1bf92ef558e88d87d7d0492,1,0
0x9586b6dc4010bdd9c64dc8162f9a54d11a3406cb,2,0
0xa178e2a4f05f4d48e94bf4eabd0f264bc06687b0,1,0
0x8b46d39e2853efb9a4ef03a5a0de0a817085bab8,1,0
0x33f406ba767a6d9df4868976ecd140eee83bef4f,1,0
0xe23786c05d44b4918be5d01263a9c2b1a1a5e114,15,0
0x8a6866099b5f062ff462bd2dcaefdade02fd01a8,5,0
0x21cf5d80558663063f765319b66f956c3c53b138,4,0
0xe856cf45ce19604cfd762a6bf05b92a98a6d3f66,1,0
0x7f1840cc1dabafce3bc94f497607aca2897838ae,28,0
0xe552468d5e99bddd241ec4017f21b099284f7c92,4,0
0x3a273d7a087f3046235a366321bbb59dede5439e,8,0
0xb3e59ece0be251d0ec581630a62d4600665611dc,6,0
0xff699d12ab05d5a8f58549f5eff341074cc53dfa,1,0
0x849c4be736b204238f3b47e6b052d2cdb05001cf,3,0
0x4177d3921e367aa90f04f305705366d22128ddab,5,0
0x7637f0014df2709751d12bee475912607c0ee563,2,0
0x424a3a9d84baf657e9cef549712f5676d521dd73,2,0
0x8fc4f3e8c9dd93e4e5f66060b5ac42fb611ee16a,1,0
0xdcb6d678a4c367d2b32bdf5862fcdd809982a64b,1,0
0xd62e73ec14d2a9951ccc1f7d141e31ad364e5106,1,0
0xa8de2cd7e27a1c3c3ba04cb0400c54c1c8a73cd5,5,0
0x8792a9a3412008cbc615e0e32132d6f6c69eb49a,6,0
0xdfab0e8ef669fc2ec8a0dc854f472764413c6bcf,1,0
0x603206bc3ac818e81177231a609a8fe4d001181c,6,0
0x88ae549483cd3a2f13d49c44198cd5ccc95db918,5,0
0x755defc6f0b33a14b3d0b67c7715717b88fd95f5,1,0
0x1de0a747439de7654e57a8975b12d78c522c9b76,3,0
0xbd069735e78f3eb079c199ece0540e4114aa4f22,1,0
0xd52f9aa6723f28dc8b569644ff659d677ede1537,5,0
0x1b7071d1e5cde8f5d7ce50c4446c609196716737,1,0
0xde32826bb4874ff904b1c215ba6da9da2763cd25,1,0
0xb947f6a9fe75dda814a4482d1ca3ba6bc5199615,5,0
0x5122afc58a4f34c93d76604a16f1e9c3e34e2350,1,0
0x040b8faaccd73ffbf15af91c41a50fef52eae875,1,0
0x52fb7e1be4bf5cb9643394ea18c151c3355a1127,3,0
0x2dab5fe0b977f1ae9a70dd6f98fb3726265a8456,2,0
0xc4db74ebf0f43222bd18670fd204152e013e09e2,3,0
0xfcd29e44c76e82715cfe02a3ede05311fe43dfcc,2,0
0xea3d3a2ab52798258f3972141e874cb1ebe985da,2,0
0x3d083f4dd5225e0de57902fcd2a84fab76c396bf,1,0
0x99291a7cec6345871f34b0d78d0fb9ba4264ffcf,1,0
0xaeb64a90ae4ce0f81747be70239a5ec74c28f513,1,0
0xd1dc0e2e1ad3944fe86007c26c8cd9dfadce208b,7,0
0xa1b87a35458a94fb6ba53dbf604ddd9779feb8c3,1,0
0xc001388cc20ec8e856cbd76611e8c96ede3135b7,3,0
0x7c588552c891c974c85ec48a8c61013729c023cd,1,0
0xa47219613adc3b80cd5b858e15cf2d6ed6691d57,3,0
0x286607f8106946b79885525f872f5e6626279721,1,0
0x39157d426d63f5536f8a833809cc165f98b905e5,1,0
0xb7e00fe3835270f5955548d1060ab90eccf0fb49,1,0
0x67a66d5c27fc821261443ceda2be346ddb35c241,1,0
0x2ff199a43a2614e302e0026ce476ade0be815177,3,0
0x77d5a6d47f20427d28123af423d8666179aa419f,6,0
0xc6fbaf4b02b2bab6a6d9baea03e6904eeb16f80b,6,0
0x7c69be1782ae5e5bc27d3f239865b13718117d46,1,0
0x0021cc8476654edcfa1d148179cfee31bdc279a7,1,0
0x2e5887ffa359f845c6cbbca8b0068d47430d69cf,1,0
0x296e78cf6113fce242a8daaf3931cdeb43e0d35a,1,0
0xccda5fdac1bbcf1370d4b65694ad2f92a376eb79,3,0
0xc1bfd7d7ce918c866c9d19dad18b34c1dc3fd67a,1,0
0xdd9f6441e126f3987da4e38f9acd6aa1f8634c08,5,0
0x6b28a4ae51fa867b6842bc2301b4b17f14195968,5,0
0x9e7d86431133573e41cd71989b19e2f983eb2720,3,0
0x4fd37d08c0734609ebc7534d548286cd21d391ba,1,0
0x9edcaa6494d3064b52a94e9fd66cd49c22887972,1,0
0x211d2f5559751b75f0ec226a777fbd5119874a11,1,0
0x62b1ede453ce1b204d288c8205a69edcf7dbb4c7,4,0
0xc3b54280fff5a7763f28f2281a15b681e5d08d1d,3,0
0x01f28ae6acc066655834904a4fca4a749269be0d,1,0
0x72c698ae81551cdec370a2bdb588e478e0b63f08,1,0
0xc7bd2dbd4ddb2e0ee9184922f33777c4ec5cc7dd,4,0
0x903d07e6d0dc7fcbed635fff5da2b37fab67e34e,3,0
0x16ca4a99141995cef7df7c9d416d57f80ebfaf35,2,0
0x44584202571028eb1a2f1b37648f8f0ae8a1713e,1,0
0x11dc9917ee9aeb38b54b7f53bb7f5fe38d59c22f,12,0
0x340747a5d18173acf911a9455493cd734bcb877e,1,0
0xb33e3aa8de0c7589374b65d5bd201f01256083ba,1,0
0x4958ab6f5829f287f61b3a49e09bf2b7cd3e04b7,5,0
0x4555582e51a769c35e8977fb1ab0b8a66a28ecf7,1,0
0xd9542b9bccf7b06118e37cc1d3fae009ee7effb0,1,0
0x0a0eb68c925a26663bce9181d82680ca8e62f4d0,1,0
0xa34c161c60c4d3f13c11930f91adc748cf89be4f,1,0
0xaae35da2988ce40799d09ba7735a7abf47d8ec26,3,0
0xb4e49603b2f8314d77b89ada9d594d812566e63c,2,0
0xd407f5563cf9e6ae283ae1743e1323b9846e0b1d,2,0
0xf9a22a726046c536e3f2ba98368b2ba41f70673c,1,0
0xbf7663ceba3ac2c6d43f1749faa6f53bf2e56a6e,6,0
0x900af6aa8684aa20424d5fbf34b195d90e63fb19,1,0
0xda27a5277e705cfd8ba63c1b81b758700382417e,1,0
0x41bd52fac8ad71e10e625b7ff091ae8d8485dad4,5,0
0xe4fedc85adfd9c55480d68fcbffa3ba6846feac2,1,0
0x40b520418b84f40fa2f4bb25dc6139206c3511c2,1,0
0xd31028010de76dd2822adab1876ebe7d987d8dc9,4,0
0x9e9e73594799c6687eb0cdfe0b333cd61aca2780,1,0
0xc27bb09224fd38a64a3244bb6771ddb350273284,3,0
0xeb3486087882256c80f6d6385ccce9044193f49f,1,0
0x175f50935f98005919541ee7d99a31d8274c7981,3,0
0xcb28d51009e90a1c2fe7e1c1f4a00f62a39a85d9,4,0
0x3a68d3742ea9ee37249a9f01547f45798e016fb9,3,0
0x9a81eee7740392c25b22d5c0cfe28fa5743a2479,1,0
