TO_ADDRESS,NUM_TOKENS
0x1de0a747439de7654e57a8975b12d78c522c9b76,665626
0xd52f9aa6723f28dc8b569644ff659d677ede1537,356512
0x1b7071d1e5cde8f5d7ce50c4446c609196716737,229702
0xda27a5277e705cfd8ba63c1b81b758700382417e,2284568
0xbd069735e78f3eb079c199ece0540e4114aa4f22,293077
0x9ff1b8725b4844d42cf82058f7efeceb06a5ddef,740742
0xb05e74485333c39ede5f60e7498d21e8791c4ae0,1
0xb947f6a9fe75dda814a4482d1ca3ba6bc5199615,216667
0x040b8faaccd73ffbf15af91c41a50fef52eae875,277142
0x5da360972be3e472b786ee396f11e9033a15a5d1,28240
0x5122afc58a4f34c93d76604a16f1e9c3e34e2350,2714777
0xac6636ebae16c74628a2f4d0e46b4abc6e008034,1
0xde32826bb4874ff904b1c215ba6da9da2763cd25,1950088
0x2dab5fe0b977f1ae9a70dd6f98fb3726265a8456,146496
0x52fb7e1be4bf5cb9643394ea18c151c3355a1127,665626
0x755defc6f0b33a14b3d0b67c7715717b88fd95f5,2294565
0xc4db74ebf0f43222bd18670fd204152e013e09e2,591668
0x56d0414bda1842c59b57d9798352fbda970a04fa,11
0xfcd29e44c76e82715cfe02a3ede05311fe43dfcc,742501
0xaeb64a90ae4ce0f81747be70239a5ec74c28f513,144956
0x99291a7cec6345871f34b0d78d0fb9ba4264ffcf,1600001
0x3d083f4dd5225e0de57902fcd2a84fab76c396bf,2125168
0x09c355d142732d50baf077aa7b60210b6c04dd3e,1
0x7c588552c891c974c85ec48a8c61013729c023cd,1350001
0xd1dc0e2e1ad3944fe86007c26c8cd9dfadce208b,188878
0xc001388cc20ec8e856cbd76611e8c96ede3135b7,591668
0xa47219613adc3b80cd5b858e15cf2d6ed6691d57,444446
0x286607f8106946b79885525f872f5e6626279721,2796093
0x8a4e6b345309f2bfcd47730e6471b17aabe08df6,1
0xa1b87a35458a94fb6ba53dbf604ddd9779feb8c3,250001
0xc7abd00eb7c78e722760d80609607aabd8376dde,1
0x05eb3ea506ae537d421b5df257664999328d2b0b,1
0x8b46d39e2853efb9a4ef03a5a0de0a817085bab8,30001
0xff699d12ab05d5a8f58549f5eff341074cc53dfa,454341
0x39157d426d63f5536f8a833809cc165f98b905e5,2642704
0xa178e2a4f05f4d48e94bf4eabd0f264bc06687b0,125400
0x9586b6dc4010bdd9c64dc8162f9a54d11a3406cb,116668
0xb7e00fe3835270f5955548d1060ab90eccf0fb49,627917
0x01598174b6768f9205a61353ab0b1f0e182a432a,2666668
0x1fc87d8058a03a462a48fc797ade0bfb98c60ebf,2000001
0x33f406ba767a6d9df4868976ecd140eee83bef4f,501655
0xd34e76957bfcf5749efcec0a510492b47cd4cd1d,1
0x04a7b04b0bfa20993f2e6795cbb5dba43781dc55,100
0x8a6866099b5f062ff462bd2dcaefdade02fd01a8,10000002
0xe23786c05d44b4918be5d01263a9c2b1a1a5e114,642917
0xe856cf45ce19604cfd762a6bf05b92a98a6d3f66,146496
0x21cf5d80558663063f765319b66f956c3c53b138,554689
0x8fc4f3e8c9dd93e4e5f66060b5ac42fb611ee16a,2735482
0x7f1840cc1dabafce3bc94f497607aca2897838ae,1205802
0xe552468d5e99bddd241ec4017f21b099284f7c92,23326
0x4177d3921e367aa90f04f305705366d22128ddab,415931
0x849c4be736b204238f3b47e6b052d2cdb05001cf,64751
0x8a8c64497859b0b1e1bf92ef558e88d87d7d0492,956015
0xd62e73ec14d2a9951ccc1f7d141e31ad364e5106,600001
0x3a273d7a087f3046235a366321bbb59dede5439e,546480
0x7637f0014df2709751d12bee475912607c0ee563,200285
0xb3e59ece0be251d0ec581630a62d4600665611dc,654190
0xdcb6d678a4c367d2b32bdf5862fcdd809982a64b,579821
0x424a3a9d84baf657e9cef549712f5676d521dd73,116676
0x7bb2638ce85199dcf24f9fba02b52bf19493dc5a,3
0xdfab0e8ef669fc2ec8a0dc854f472764413c6bcf,2643483
0x603206bc3ac818e81177231a609a8fe4d001181c,1100001
0x4555582e51a769c35e8977fb1ab0b8a66a28ecf7,556044
0xa34c161c60c4d3f13c11930f91adc748cf89be4f,333331
0xea3d3a2ab52798258f3972141e874cb1ebe985da,2000075
0x4958ab6f5829f287f61b3a49e09bf2b7cd3e04b7,1188374
0xd9542b9bccf7b06118e37cc1d3fae009ee7effb0,913760
0xa8de2cd7e27a1c3c3ba04cb0400c54c1c8a73cd5,831863
0xb33e3aa8de0c7589374b65d5bd201f01256083ba,580279
0x0a0eb68c925a26663bce9181d82680ca8e62f4d0,258875
0x8792a9a3412008cbc615e0e32132d6f6c69eb49a,1100001
0x88ae549483cd3a2f13d49c44198cd5ccc95db918,1188374
0x0b79febd5eff657271ddcf6c3c86f556913feb33,1
0xd407f5563cf9e6ae283ae1743e1323b9846e0b1d,79168
0x0bead803a53a511550a95b5f0b752b7176526090,1254164
0x30416dae6febc3dabc4ea752ade90a2c5b1545fc,1
0xaae35da2988ce40799d09ba7735a7abf47d8ec26,591668
0xb4e49603b2f8314d77b89ada9d594d812566e63c,96876
0xf9a22a726046c536e3f2ba98368b2ba41f70673c,2102242
0xf18c01d81de259997d3d4066a81ae044039d8794,1
0xbf7663ceba3ac2c6d43f1749faa6f53bf2e56a6e,791668
0x80d61bf3b23b64b3483ae023db17af96cac1eb4c,73248
0x9e2c518916e3c4402480e4c310bc859a9b1907be,15
0x41bd52fac8ad71e10e625b7ff091ae8d8485dad4,806084
0x4160dbfa33fcc50bd83dbfcedeb39cda731ba43b,1333334
0x62e5d46903f7cedc5e8a160522d19c26f5885d7a,1
0x900af6aa8684aa20424d5fbf34b195d90e63fb19,788449
0x340747a5d18173acf911a9455493cd734bcb877e,745021
0x842e1fd58daaa11ab9dd48e866854cbaaf971c52,1
0xd31028010de76dd2822adab1876ebe7d987d8dc9,213751
0xe4fedc85adfd9c55480d68fcbffa3ba6846feac2,317297
0x40b520418b84f40fa2f4bb25dc6139206c3511c2,73248
0xf2d717eb4dca0550d1050ee94c13766ab695c139,1
0xcb28d51009e90a1c2fe7e1c1f4a00f62a39a85d9,791668
0x4fd37d08c0734609ebc7534d548286cd21d391ba,144946
0x3a68d3742ea9ee37249a9f01547f45798e016fb9,591668
0x175f50935f98005919541ee7d99a31d8274c7981,296088
0xc27bb09224fd38a64a3244bb6771ddb350273284,968751
0xeb3486087882256c80f6d6385ccce9044193f49f,219828
0x9a81eee7740392c25b22d5c0cfe28fa5743a2479,776878
0x4cc5e4ff60b243db78a86f7afdb930e4a8eaf589,1
0x9e9e73594799c6687eb0cdfe0b333cd61aca2780,1867258
0x9cadb5480eefe6223a5dcdfc5d783243615b015b,1
0x77d5a6d47f20427d28123af423d8666179aa419f,839531
0xc6fbaf4b02b2bab6a6d9baea03e6904eeb16f80b,839532
0x2e5887ffa359f845c6cbbca8b0068d47430d69cf,1125001
0x7c69be1782ae5e5bc27d3f239865b13718117d46,2330902
0x2ff199a43a2614e302e0026ce476ade0be815177,739584
0x296e78cf6113fce242a8daaf3931cdeb43e0d35a,1500001
0x0021cc8476654edcfa1d148179cfee31bdc279a7,2797149
0x4fda50980b12b4cb5aa76faf28f40e9a0b5bf78c,1
0x6b28a4ae51fa867b6842bc2301b4b17f14195968,12000001
0xdd9f6441e126f3987da4e38f9acd6aa1f8634c08,713025
0x67a66d5c27fc821261443ceda2be346ddb35c241,50001
0x211d2f5559751b75f0ec226a777fbd5119874a11,1944531
0xccda5fdac1bbcf1370d4b65694ad2f92a376eb79,554689
0x9e7d86431133573e41cd71989b19e2f983eb2720,591668
0x9edcaa6494d3064b52a94e9fd66cd49c22887972,2256717
0xc1bfd7d7ce918c866c9d19dad18b34c1dc3fd67a,416668
0xc6676a9214dcac0c41990c26e99f616125bf2b38,2
0x16ca4a99141995cef7df7c9d416d57f80ebfaf35,1441037
0x62b1ede453ce1b204d288c8205a69edcf7dbb4c7,192875
0xc7bd2dbd4ddb2e0ee9184922f33777c4ec5cc7dd,369793
0xc3b54280fff5a7763f28f2281a15b681e5d08d1d,739584
0x44584202571028eb1a2f1b37648f8f0ae8a1713e,36651
0x1fbe2d55140096490b69ffe1c644c45f6b652e47,2
0x903d07e6d0dc7fcbed635fff5da2b37fab67e34e,742501
0x72c698ae81551cdec370a2bdb588e478e0b63f08,669011
0x19febc714e860e9058d291a02382ae88a9dab300,1
0x01f28ae6acc066655834904a4fca4a749269be0d,2719645
0x0bb6de1bb4c89eebba2cb1cae3d14ce0fa118fec,1
0x11dc9917ee9aeb38b54b7f53bb7f5fe38d59c22f,642917
0x376392a672d267bcbb41ca0d4f1ca1a9ac76cad8,659913
0x0881c6956268e2bc920f4446eaffba48bcb7558f,133334
0x552828a2c46197efd402d816195f03cc7f7be998,564190
0x05874df3019d579bf432723bb6e80ca7f1b3521c,2
0xf1388f2f2abb479819573150188a6524027498f4,2
0xeed19288035190fdb08f5f840c40511f9a07a94b,16667
0x39adb08824e8acaec4d30d1c21ae0ec6983613ef,9000001
0x42184273b378c49d0030bda46b925780d2651710,14599
0x20a932674f5f7f254e0b8afa13787ac56825aea5,297094
0x011c75386d9178f70f3f577bf23bb93704523203,43705
0x5dfe4c1017913d62c7001681caef0ca99e050d03,444447
0x35e593299d1119ba310b746a28127e5e51848c05,53335
0x93028b4234641c0231b56000b06a0cb1b86ca55e,87
0x61669d4ed2863e857c87d9a654b0b1d00b45c3e6,44613
0x2d601c2158430b21cf0903b8023cc57920b87f57,2000002
0x1213f9e21fbf093ddef052eb5637fcb43efa7207,833335
0x34900e12dbb5c995b9f306028ad7c367fa010e15,20001
0x19c105456b4ff09811da7b26d592f72d2e2160b8,962085
0xcee0f0058e090297357930e13dfdb27296a18075,1994821
0x257882537613075dfc319f874fd7c41fdf177ad6,2
0xd556b38553b4bee540a9cea805c51e63c2267d0c,2
0x05e9d8340012e11d6f8c57edfe6b998a3bf59ba0,592595
0xd3365d04a8dcd2d2f071e62d36c0d476cf0a0866,1100003
0x348c4fe598d17aa87d81e5c716bf84f97a3e8464,225001
0xe1a4db24bf8bcab2c11fcfa018b7194d21f062ce,739584
0xbe21f11e85cb2de8d9561c4d2a736086927a86e0,665626
0x97a8fe37756d6df4771c97e89b0323eefcfefb3b,14599
0x0ab4777b63778d24a9c33ae740247990ec0cb636,800001
0x7c754482956a3d9e7e84b186f022edec3b67e927,1
0x22cb9339bd31ff5c6da4aeea8a1e827cff718c3c,5016711
0x0d5d7bdd304909f83b1935fdac0dff7dfa55dc4b,572170
0xfd51f8729e34edbe4e75d212c4a40822a45247d4,672222
0x42ded6bf02c6b7bb8b4b1ef2257726eac474e6ea,587637
0x5e6c2bc445900aa23407fa535d33c10c3777927f,14599
0xbce7c689676c508bf05a4b434bb7fe25ff9a243a,1333334
0xd5469d704c0a36347899236384e9920a54fe21ce,6000002
0x492266f05018d1ce65fbdf3e2ebe7e68f01f3c37,3762529
0x3b35dc3b743f219aaa6444a3aea949729543d11b,266669
0xfafc5b6063d428b5ffdc979cf75c17c114ecf148,935978
0x01b66758fba1e1012be2001c79fd8897313ba4c9,6676
0xb2038ff1754965410969ef1ae000873ed4b423a9,250818
0x7fdb8e855b7066ae3e193a42cdb0bacf5bf8e267,17558485
0x6c3c969abd71921f282c1536129aee661287c81d,1
0xb8a31b5707f648d40d607b91bf19084909aaa402,1
0x99e22593d9a03b634c1410302352764f63c2fdd4,2185201
0x34880f5b0ac81d70ae6b0b2e0667e2096d2b4c92,125400
0xdd1ad02133d597ef19697a78478b81cc287d1d5b,1
0x5976a9993d578c8b4d7912cc4ca721ee6366ffd0,2
0xfe22724fd255b028ee7c2010efe3a05a3149dc6f,1
0x51c07f24c717287c9c05fb80381fd2defd65b42e,554689
0x32df6a8017518e0e020d2926319e55d30b57f29b,73248
0x099c405e966ef75bc936eb49d99b0e5ec9dcaf1a,1875001
0x839ffc196d656f89d0f40736559273f956efc60a,690835
0x6d46eed179be64ba86265ab016c8710e10bce33c,454167
0x3c18d4124ecc216e6a8b94c4ad0a78b76ce42755,1008807
0x89c5a5d6a57a6d8540b81b9a79aaa0f1d38d7493,742501
0x78329114dfcbb29072d4d581b2ebf2b752fd7384,1
0x8b2e87410b3d382a8eed1e49659a388d178039c9,2720050
0xa9404d377694e35f11ca157dc831a003c7df1db0,86809
0x43a9b008dcac57da60b738b42ad1ccc1c76aface,2643485
0x69d44b7b96481965bd3c980bf52bd8f59b7d0241,14599
0x71e09526ef050690fc66f33f001fcdd77b218f0f,714233
0xba08266bc33ec8e1ddffd9c4d1e56d27b6d8348e,739008
0xe97d512f99d9d8ca940ec5abeab8870d68d33f83,369793
0xd96d03a73abfb0a80751be5115f6a0efabcbaebd,11
0x3301fa9c47e305ade49db87a6adae58d0ae2d2ae,802460
0xec8e97015fdd54f7eb5208aec59fbb69b4ba3f00,2341679
0x2a1a37850cb61a54f0ec5a8ab2a32cf931a64ed9,818100
0x01d29ec5d67019e4e73b843a0315a115a2ef18c9,800001
0x6d310e174fe86203530aaa51c3feb80aa2b27ff5,73248
0xc044cb88972566ca480aeff33c11688dd8330ebd,2
0x8f7b6dec21a7482e992f1832db038b6852066da7,2178779
0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
0xb5e2a60d8922efd22db0582d6a08b038bb1840dd,369793
0x4dbed0b8d69b23150169c287f3ca66f80c7f138c,554688
0x9b77aef85508aa7ba6937af882152e3501528841,1600001
0xaa06613c19851c62d219928427b873ef28c91f0d,13884
0x8ee295fbfd9d9646f8a5d9af93c7e0c7a3590a02,1921559
0xb32810cd70f8409b5f6869e44422abc034711574,1
0x954386c51eb564061e040f26216c8603cb38bf79,2765158
0x881762e28b6f8e4d30f7bca068804f2bd94ec5cc,1
0x9120cd2bbe7be07eca7203c31756ae76fb35234a,642917
0xd6bb547ef8359ecc3d8c41324c9a5f5119e89cc6,642917
0x5748e862726be363b8a65174f0d00e02463d8efc,369793
0xe0001ef36e08e0800c59d1aab662e6eda2e42cfd,145974
0x7832773cf9105783a5e7126030beff488177c8aa,2822070
0xfa7e247231476beb6933dbb3ddbd0943fe03a3df,1870253
0xbaffeb4566e468e42fe75ebeaea1e52c10c5617c,2
0x5d9eac63592e91995e9e350fc3888a62438828ab,144956
0xedc95b3d8f199cdcb8816da0bd7ce0cd0236e7b7,2638250
0xc6d140b7e8c0f9cbf9061a5a2668f9fdb01bb53e,81021
0x4605520d156c79780f857bf19aa5a6e35d0d3a31,2634422
0x545c8bfe8a65af702686c86719ae683795c24593,123481
0xf75ae45c8700ac26c188236b60c5593fad5b8cb2,150491
0x15874e6e9053c26260c385e4e67b5e2280ccf8c6,293076
0xad1fc687f0c22cffd9ea69534e546b50d0e48e2f,1
0xab536cd0b2ccd78d97f1fd8a163cd48fb7b616bd,166668
0x938cb5df3669677253bfe9dc18c12097c0ff762d,10000001
0x07aecd87488cf4bc8f0cefc5c3dd61828cc688b5,2000001
0xf41a1bbf3194e932723f08f4935e3d302342e151,333335
0xef4e2d98a532f5381e2c6a483c02f5865248c416,666668
0x309747804a5c737867d61961fbc3e87632da7150,73248
0xd67ac5de3a98ba98def5a2fa8e9e26ed38975c8a,7000001
0x50d7d2ed4286e2dd502adec0e2c03b86c14256a1,1
0x39f9e2d2e6eaf9397b2db9e68ee264bfd0bd0afe,1650001
0xfc77a52fb0109d8f7a2474951cf56f5018b12699,580815
0x9af65568d7dd962388d3e9873f831c7387da6cf1,48156
0x7d85b095e8d4e2ef6357e5659988e366015da0c8,14599
0x1146e520a14bd270b4d9898b271a44a9f634b13a,1910672
0xb3c3072e5c8c180627aa249289cbeee38ba9c706,737756
0x5fc8d9f04f9d3b394b53a76d3dd134f17dd300a6,554689
0x4f01b780e5667e6dec3a2d9024b7297a06cc6c6e,1948177
0x9e5c9b1b24490bc63eb44b0625900cb3f43adfe3,554689
0x142a98a388a1ba2643b86eba3d2f13bf5383a8c1,10000001
0x9a66d3c7f84b8acec6a6d2bf473c68257d416f26,996153
0xf07b6bc12d3b3cef4b3dde4c9365f46c48892ece,4515273
0x5e72d50a4be15961ab1cd60e2af8465f0babb144,0
0x6aa737ebf68b5a83ad484c6e0ad11b556c326323,148034
0x9b066d36ed0703ba1a6a358a8a5aa2a9c85b742f,627073
0x7c2db40b7d837729e4766ab5a5f2aaee657ac3e4,31
0xdbd8933e7fcb62462986a002d3ffc7008384bff2,950700
0x096bfc90ce8ea0cf4e9467793190e1b3478af656,2
0xb9f7e01cde79171d865ab5353520458d1f662414,16651
0x54b423dce63f8ec02e9857324c6b052653c78fb2,1
0x1d4e09702b64cfb790af889a68edfb27cc7ef1ff,740245
0x5feec16c1564e1661b93d0c8283d0f0f609f3c08,791667
0xd2d53c514487f2791a736f2b6ebacf95484d93e4,665626
0x54ce84ed197c2e7a0896c7c98130029ea2b24e58,665626
0x6427b291b5090b6ff3bec3612e1b2bcab01f9912,800002
0xa2ea91b5546fca1a5fc22f1bf7e9ea2af0a72ec9,454167
0x12ee7ddc9817d6106ce066cfacf319bdca8a9d68,1
0xe7baec684fa173b073791e95797f45a30296a068,29283
0x5411a7a10f2ba2ca1616b44d394ad7a9893bf680,50001
0x3d17b4bd13dcc1a32eeffea3d879249a129bf4cc,739584
0x2e3fc1ba3869743f493ffa1fd769d059b0672fa5,739584
0xdfa1762632cefcc9d5df9ce243d1282f9993d944,2145028
0x723c5cdb8e61f5baebced30ef6c410b59f408d7e,627074
0x99f18ac2bf260d5b3fd7131afc288db575b06739,742501
0x8e2f65e5c8311c736a49a6e4b7d1c6b975f27568,233111
0x1e7b77c7ba8910028462d0e6380d704b34cf3d86,800001
